id,date,username,tweet
1375417256050446342,2021-03-26,pingpointid,"Sehubungan dengan penunjukan dari Dinas Kesehatan Kota Depok, RSUI menjadi tempat untuk pelaksanaan vaksinasi COVID-19.  Kota Depok Resmikan Sentra Vaksinasi Indonesia Bangkit di RSUI  https://t.co/tDnlaBJNqZ  #SentraVaksinasi #SentraVaksinasiRSUI  https://t.co/uKbgTtQy8e"
1375415936195338246,2021-03-26,koramil15myd,Anggota Kodim 0732/Sleman Di Suntik Vaksin Astra Zeneca  Sleman --- Anggota Kodim 0732/Sleman disuntik Vaksin Covid-19 Dalam rangka mendukung Program Pemerintah Tentang Serbuan 130.000 Vaksin Covid 19 merk Astra Zeneca di Hanggar Skadik 102 Lanud Adi Sucipto Maguwoharjo Depok .  https://t.co/dabakVj0O7
1375404345936674816,2021-03-26,sita_azmaiza,@angellitarisa HAHAHA dkt banget dari rumah nenek dan tante gw padahal ris tapi gw udah jarang ke depok semenjak covid:( banyak bmnya nih kalau di depok:( pengen taichan bang gondrong juga:( msh ada gasih?
1375399319583354885,2021-03-26,depokkoramil,Sleman --- Anggota Kodim 0732/Sleman disuntik Vaksin Covid-19 Dalam rangka mendukung Program Pemerintah Tentang Serbuan 130.000 Vaksin Covid 19 merk Astra Zeneca di Hanggar Skadik 102 Lanud Adi Sucipto Maguwoharjo Depok Sleman. Jumat pagi (26/3/2021)  https://t.co/Y4v3EC1T7B
1375398357988872196,2021-03-26,cnnindonesia,Satgas Depok Klaim Sudah Tak Ada RT Zona Merah Covid  https://t.co/oB4nWtjFoJ
1375379696783794186,2021-03-26,rezbangs,@jogetyugg maafya depok penghasil corona
1375364612804120577,2021-03-26,koramil12mlati,Sleman --- Anggota Kodim 0732/Sleman disuntik Vaksin Covid-19 Dalam rangka mendukung Program Pemerintah Tentang Serbuan 130.000 Vaksin Covid 19 merk Astra Zeneca di Hanggar Skadik 102 Lanud Adi Sucipto Maguwoharjo Depok Sleman. Jumat pagi (26/3/2021)  https://t.co/F5NfOsH8u4
1375364368599158790,2021-03-26,nanananahid,@fgirlzone_ waa jurusan mana? sering2 meet up yaa nanti kalo covid dah slsi dan lagi longgar sama youn1t depok atau sama akuu
1375359898452566016,2021-03-26,koramilsleman,Sleman --- Anggota Kodim 0732/Sleman disuntik Vaksin Covid-19 Dalam rangka mendukung Program Pemerintah Tentang Serbuan 130.000 Vaksin Covid 19 merk Astra Zeneca di Hanggar Skadik 102 Lanud Adi Sucipto Maguwoharjo Depok Sleman. Jumat pagi (26/3/2021)  https://t.co/l9F19NOGuC
1375348805302767617,2021-03-26,kenndaru,"@IDN_Username Pilkada lalu adlh kesempatan terbaik menggusur PKS dr Depok. Tp pemilih rasional ga pada mau memilih krn masih pandemi; smntara pemilih PKS berbondong2 ke bilik suara, gak takut COVID. Jadilah PKS lagi yg berkuasa di Depok."
