id,date,username,tweet
1365218008939982858,2021-02-26,depoknegeri,terkait Kejaksaan Negeri Depok menuju Wilayah Birokrasi Bersih Melayani (WBBM). Kegiatan tersebut tetap dilaksanakan dengan mematuhi Protokol Kesehatan Covid-19.  https://t.co/Iakw9wGyFS
1365210371661778947,2021-02-26,rtmc_diy,Personel Ditlantas Polda DIY menggelar operasi yustisi protokol kesehatan dengan sasaran pengendara yang melintas di dekan Mapolsek Depok untuk memberantas penyebaran Covid-19.  https://t.co/kfURJqI5oU
1365210136634036224,2021-02-26,kompascom,Imam Budi dilantik secara daring karena masih menjalani isolasi di RS Mitra Keluarga Depok lantaran positif Covid-19.  https://t.co/cqjVwtzc5t
1365203531750281221,2021-02-26,wartakotalive,"Pesan untuk Wali Kota Depok, Pengusaha UMKM Berharap Dapat Bantuan Modal Imbas Covid19    https://t.co/ukmHRHgGRE   #umkm #depok #Covid_19 #viruscorona     lewat @wartakotalive"
1365191391001808897,2021-02-26,liputan6dotcom,"VIDEO: Masih Positif Covid-19, Wali Kota Terpilih Depok Dilantik di Rumah Sakit  https://t.co/5Tl9eUIJpU"
1365190876884987908,2021-02-26,ahmadnormaulana,"Momen Pelantikan Terpisah Wali Kota &amp; Wakil Walkot Depok, Idris Dilantik di RS karena Covid 19  https://t.co/TfJVblUq4g"
1365186882510876683,2021-02-26,idnpublic,"Masih Dirawat karena Corona, Wakil Wali Kota Depok Imam Budi Dilantik dari RS  https://t.co/VlJbMEIOVq #Terbaru #berita #live #merdeka"
1365182333490401281,2021-02-26,terasjabar_1," https://t.co/u3lgeb1lMj  Masih Menjalani Perawatan Karena Covid-19, Wakil Wali Kota Depok Imam Budi Dilantik dari RS"
1365182089780293633,2021-02-26,kompascom,"Perbedaan jumlah pasien/kasus aktif Covid-19 kembali terjadi antara data real-time Kota Depok, Jawa Barat dengan versi Satgas Penanganan Covid-19 pusa  https://t.co/kHKXjHq3xX"
1365181073026523137,2021-02-26,ahmadnormaulana,"Masih Dirawat karena Covid-19, Wakil Wali Kota Depok Imam Budi Dilantik dari RS  https://t.co/vnWWohW0mK  https://t.co/MpBRC9Vmxp"
1365175774836256771,2021-02-26,merdekadotcom,"Masih Dirawat karena Covid-19, Wakil Wali Kota Depok Imam Budi Dilantik dari RS: Hari ini Mohammad Idris dan Imam Budi Hartono dilantik sebagai Wali Kota dan Wakil Wali Kota Depok periode 2021-2026. Keduanya dilantik bersama 4 pasangan kepala daerah…  https://t.co/gZfwYiL94d"
1365154509631016964,2021-02-26,liputan6dotcom,"Masih Positif Covid-19, Wakil Wali Kota Depok Imam Budi Hartono Dilantik di RS  https://t.co/9XxPdIe2As"
1365142427778969600,2021-02-26,kompascom,"Pemerintah Kota Depok mencatat 265 kasus baru Covid-19, 366 pasien Covid-19 pulih, serta 3 lainnya wafat.  https://t.co/nJa8s3fuzd"
1365141172402802691,2021-02-26,idnpublic,"10 Kabupaten/kota dengan kasus Corona tertinggi, Solo &amp; Depok teratas  https://t.co/JyuKyfNzDJ #Terbaru #berita #kontan #live"
1365136300345466880,2021-02-26,hamzahcentre,Semoga Covid-19 di Depok bisa cepat berkurang. Warga dan seluruh pihak terkait diharapkan saling sinergi atasi Covid💪🦅 -H. Hamzah- #depok #COVID19 #KHH   https://t.co/6fndWPV3Zr
1365123050711130112,2021-02-26,kompascom,"Pemerintah Kota Depok mengumumkan, saat ini ada 3.740 kasus aktif Covid-19 atau pasien yang sedang terpapar virus corona di daerah itu.  https://t.co/ShZxJ1FB1J"
1365122426208542722,2021-02-26,vivacoid,Depok Sebut Data COVID-19 dari Pusat Tak Akurat  https://t.co/5ayVKZ4AQ7
1365110950148202496,2021-02-26,hmmurahmurahhm2,"Wali Kota dan Wakil Wali Kota Depok Dilantik Terpisah, Idris di Bandung dan Imam di RS karena Positif Covid-19 Klik untuk baca:  https://t.co/jGUGYOxJt4"
1365018364888838146,2021-02-26,seknasjppi,Dinas Pendidikan Depok Ajukan 18.850 Tenaga Pendidik Divaksinasi Covid-19 -  https://t.co/vqwlnsfmZj  https://t.co/gSDyWpFVMM  https://t.co/z3J63qjrzk
1364968280608366594,2021-02-25,republikaonline,GTPPC Depok laporkan pasien positif Covid-19 menjadi 34.945 orang  https://t.co/nnzqlmU9CC
1364932607213858820,2021-02-25,syaaiii_,"@fathivibes bulan lalu keluarga aku ge kena covid di depok, yg negatif cuma aku 🥲"
1364919189585108992,2021-02-25,mediaserunicoid,"Vaksin Covid-19 tahap kedua sudah sampai di Gudang Farmasi Kota Depok. Vaksin Covid-19 ini akan diberikan kepada pelayan publik seperti wakil rakyat, pejabat negara, atlet, tokoh agama, pedagang pasar, guru, ASN, TNI, Polri, dan pelayan publik lainnya.    https://t.co/c62UeTSjrt  https://t.co/NowuAQbhie"
